GTIN13;BU;Project Code;Commited Qty
139377;Store 16;Project 2024_01;1600
139406;Store 16;Project 2024_02;700
139628;Store 7;Project 2024_01;10500
139559;Store 16;Project 2022_02;17000
139643;Store 1;Project 2024_01;4800
139456;Store 2;Project 2022_03;6300
139584;Store 11;Project 2022_03;7000
139563;Store 2;Project 2022_02;10600
139418;Store 13;Project 2024_02;5500
139575;Store 16;Project 2024_03;8000
139538;Store 13;Project 2023_01;5000
139579;Store 8;Project 2024_02;3000
139363;Store 4;Project 2024_01;12000
139455;Store 1;Project 2022_02;6000
139328;Store 13;Project 2023_03;3600
139438;Store 11;Project 2023_03;2000
139514;Store 14;Project 2023_03;6600
139512;Store 11;Project 2023_03;4000
139514;Store 5;Project 2023_03;5000
139572;Store 11;Project 2023_02;25500
139360;Store 12;Project 2023_02;32000
139301;Store 5;Project 2023_02;8750
139592;Store 7;Project 2023_01;2500
139640;Store 14;Project 2024_02;150000
139541;Store 7;Project 2024_02;54000
139389;Store 9;Project 2023_03;12500
139390;Store 12;Project 2022_01;5000
139390;Store 4;Project 2022_01;3500
139343;Store 9;Project 2022_01;21000
139506;Store 3;Project 2022_01;6900
139463;Store 1;Project 2023_02;27000
139387;Store 9;Project 2024_02;19000
139325;Store 10;Project 2023_03;12000
139608;Store 16;Project 2024_02;19500
139623;Store 8;Project 2024_02;25000
139514;Store 5;Project 2022_01;7500
139453;Store 3;Project 2023_02;26000
139392;Store 1;Project 2024_03;29000
139420;Store 4;Project 2023_03;48000
139630;Store 13;Project 2023_02;23500
139470;Store 14;Project 2023_02;14500
139457;Store 10;Project 2022_02;15500
139314;Store 11;Project 2024_01;20000
139334;Store 9;Project 2022_01;14000
139424;Store 9;Project 2024_03;2600
139494;Store 10;Project 2022_02;5000
139303;Store 5;Project 2022_03;6000
139563;Store 3;Project 2022_03;9000
139642;Store 4;Project 2024_02;8000
139633;Store 1;Project 2022_01;4500
139406;Store 15;Project 2023_03;2500
139402;Store 9;Project 2023_03;2000
139370;Store 13;Project 2023_03;15000
139465;Store 11;Project 2024_03;22000
139369;Store 16;Project 2023_02;16000
139387;Store 14;Project 2024_02;12000
139591;Store 5;Project 2023_01;3700
139563;Store 11;Project 2023_03;11000
139590;Store 15;Project 2022_03;3500
139500;Store 1;Project 2022_02;3000
139563;Store 11;Project 2023_02;4800
139483;Store 4;Project 2022_03;6800
139338;Store 7;Project 2024_03;82000
139339;Store 9;Project 2024_02;9000
139445;Store 10;Project 2022_02;400
139600;Store 12;Project 2023_02;500
139538;Store 11;Project 2023_01;4000
139507;Store 15;Project 2024_02;6000
139584;Store 9;Project 2022_01;9000
139441;Store 15;Project 2024_01;2400
139399;Store 9;Project 2022_03;5000
139585;Store 5;Project 2022_02;8500
139545;Store 11;Project 2023_02;5000
139541;Store 2;Project 2022_02;7500
139573;Store 7;Project 2023_02;3500
139364;Store 2;Project 2022_01;4000
139622;Store 15;Project 2022_03;16500
139362;Store 2;Project 2024_02;12500
139488;Store 11;Project 2024_01;3849
139479;Store 11;Project 2024_03;17500
139374;Store 5;Project 2023_03;10000
139601;Store 9;Project 2024_03;20000
139333;Store 16;Project 2022_02;15000
139600;Store 4;Project 2022_02;10000
139326;Store 14;Project 2024_03;7000
139463;Store 13;Project 2023_03;70000
139625;Store 13;Project 2022_01;121000
139479;Store 4;Project 2023_02;40000
139615;Store 3;Project 2023_01;8000
139363;Store 6;Project 2024_03;9000
139315;Store 16;Project 2023_01;38000
139407;Store 12;Project 2024_02;22000
139399;Store 9;Project 2023_01;10000
139628;Store 10;Project 2022_03;108098
139627;Store 16;Project 2023_03;132026
139628;Store 6;Project 2022_01;7000
139382;Store 8;Project 2022_02;65000
139548;Store 1;Project 2022_03;7000
139477;Store 5;Project 2024_01;3250
139301;Store 5;Project 2022_01;14000
139488;Store 16;Project 2024_02;9000
139461;Store 16;Project 2024_01;11000
139609;Store 12;Project 2023_03;4500
139424;Store 5;Project 2024_03;22000
139602;Store 2;Project 2024_03;9000
139609;Store 10;Project 2024_02;4500
139508;Store 8;Project 2024_03;22000
139586;Store 7;Project 2024_01;11000
139499;Store 9;Project 2024_01;3000
139586;Store 5;Project 2023_03;6000
139350;Store 9;Project 2023_03;3000
139367;Store 12;Project 2022_01;7000
139491;Store 4;Project 2022_03;1500
139429;Store 16;Project 2022_03;3200
139505;Store 15;Project 2023_01;4600
139539;Store 1;Project 2022_02;3600
139421;Store 11;Project 2023_01;23936
139566;Store 7;Project 2022_03;2110
139603;Store 7;Project 2024_02;21120
139366;Store 11;Project 2023_01;8366
139585;Store 4;Project 2023_02;10069
139325;Store 16;Project 2022_01;10970
139414;Store 8;Project 2023_03;38901
139395;Store 6;Project 2022_01;24535
139338;Store 12;Project 2022_03;20134
139631;Store 14;Project 2024_03;18769
139439;Store 15;Project 2024_01;5800
139624;Store 15;Project 2024_01;22000
139492;Store 16;Project 2022_01;14300
139376;Store 9;Project 2024_01;14300
139434;Store 16;Project 2023_02;2000
139417;Store 13;Project 2024_02;11000
139327;Store 9;Project 2024_03;3700
139480;Store 7;Project 2023_03;8700
139452;Store 5;Project 2022_03;10000
139583;Store 16;Project 2024_01;14000
139614;Store 8;Project 2023_03;15000
139603;Store 3;Project 2022_01;4000
139341;Store 12;Project 2024_02;12000
139593;Store 13;Project 2023_01;10000
139488;Store 15;Project 2022_02;14000
139509;Store 15;Project 2022_03;6000
139508;Store 3;Project 2022_01;4000
139358;Store 14;Project 2023_03;4000
139486;Store 11;Project 2024_01;50000
139383;Store 10;Project 2024_01;4000
139443;Store 1;Project 2023_02;8000
139386;Store 12;Project 2023_02;7000
139380;Store 7;Project 2024_03;10000
139387;Store 7;Project 2023_01;15000
139427;Store 8;Project 2022_01;4500
139507;Store 8;Project 2023_03;24000
139589;Store 9;Project 2022_01;20000
139488;Store 6;Project 2023_01;14000
139413;Store 7;Project 2022_02;4000
139514;Store 8;Project 2024_02;18200
139313;Store 12;Project 2022_02;8600
139473;Store 5;Project 2023_02;17500
139388;Store 10;Project 2024_03;3400
139348;Store 16;Project 2023_01;15900
139426;Store 14;Project 2024_03;16500
139433;Store 9;Project 2022_01;1500
139351;Store 11;Project 2022_02;5200
139614;Store 4;Project 2022_01;3600
139376;Store 3;Project 2023_02;2500
139425;Store 12;Project 2024_01;5500
139565;Store 14;Project 2023_03;4800
139364;Store 5;Project 2024_03;3500
139590;Store 4;Project 2024_03;40000
139316;Store 9;Project 2022_02;15000
139580;Store 11;Project 2024_01;60000
139462;Store 11;Project 2022_01;48000
139629;Store 15;Project 2022_02;10000
139579;Store 5;Project 2023_02;6000
139434;Store 2;Project 2022_03;25000
139532;Store 15;Project 2022_02;25000
139411;Store 11;Project 2023_01;45000
139383;Store 11;Project 2023_02;32000
139618;Store 14;Project 2024_02;20000
139329;Store 13;Project 2024_03;13000
139495;Store 2;Project 2023_01;13000
139538;Store 12;Project 2022_01;4000
139378;Store 10;Project 2022_02;10000
139381;Store 9;Project 2023_02;10000
139455;Store 16;Project 2023_01;12000
139337;Store 9;Project 2022_02;3000
139473;Store 10;Project 2023_01;10000
139493;Store 5;Project 2024_03;5000
139568;Store 15;Project 2022_01;45000
139509;Store 3;Project 2024_02;30000
139641;Store 3;Project 2024_03;60000
139396;Store 13;Project 2023_01;45000
139414;Store 15;Project 2024_03;30000
139313;Store 8;Project 2024_02;40000
139396;Store 3;Project 2022_03;45000
139316;Store 11;Project 2023_03;25000
139435;Store 11;Project 2022_01;30000
139405;Store 5;Project 2024_02;35000
139473;Store 7;Project 2024_03;20000
139565;Store 8;Project 2023_03;25000
139533;Store 5;Project 2023_02;40000
139405;Store 7;Project 2022_03;45000
139332;Store 4;Project 2022_02;12000
139547;Store 15;Project 2024_02;42000
139364;Store 2;Project 2022_01;14000
139526;Store 12;Project 2023_02;7000
139545;Store 14;Project 2024_02;8000
139397;Store 15;Project 2022_02;5000
139515;Store 15;Project 2023_01;18000
139570;Store 6;Project 2024_03;14000
139570;Store 3;Project 2024_03;5000
139333;Store 4;Project 2022_02;3000
139476;Store 14;Project 2024_03;60000
139375;Store 9;Project 2022_03;36000
139625;Store 11;Project 2022_01;90000
139445;Store 5;Project 2023_02;50000
139490;Store 8;Project 2022_03;50000
139452;Store 9;Project 2023_01;50000
139308;Store 3;Project 2023_03;16000
139372;Store 15;Project 2022_02;10000
139483;Store 9;Project 2024_03;12000
139309;Store 15;Project 2022_03;6000
139351;Store 4;Project 2022_01;30000
139625;Store 15;Project 2022_03;24000
139385;Store 8;Project 2023_02;38000
139339;Store 4;Project 2023_03;9000
139580;Store 11;Project 2023_01;10000
139524;Store 10;Project 2024_01;3000
139578;Store 7;Project 2022_02;2000
139452;Store 3;Project 2024_03;2000
139531;Store 8;Project 2024_01;4000
139525;Store 3;Project 2022_01;7000
139415;Store 11;Project 2024_02;7000
139418;Store 13;Project 2024_03;3000
139550;Store 16;Project 2022_03;1000
139441;Store 13;Project 2024_02;3000
139397;Store 1;Project 2022_03;4000
139349;Store 13;Project 2024_01;1000
139351;Store 14;Project 2023_03;2000
139559;Store 5;Project 2023_01;1500
139420;Store 5;Project 2023_03;1500
139636;Store 9;Project 2023_03;2000
139439;Store 6;Project 2022_03;3000
139373;Store 15;Project 2024_02;2000
139406;Store 12;Project 2024_01;1500
139495;Store 1;Project 2023_02;2000
139434;Store 7;Project 2024_02;3000
139457;Store 7;Project 2022_02;2000
139596;Store 6;Project 2024_02;1500
139617;Store 1;Project 2023_01;2000
139544;Store 11;Project 2022_01;2000
139542;Store 9;Project 2024_02;1500
139368;Store 8;Project 2024_02;1000
139502;Store 10;Project 2022_03;2000
139546;Store 5;Project 2022_02;3000
139467;Store 8;Project 2024_02;3000
139336;Store 15;Project 2024_02;4000
139338;Store 5;Project 2024_03;7000
139437;Store 3;Project 2022_03;13000
139324;Store 7;Project 2023_01;2000
139615;Store 4;Project 2022_01;1000
139497;Store 16;Project 2022_03;2000
139341;Store 4;Project 2022_03;2000
139393;Store 2;Project 2022_02;3000
139470;Store 11;Project 2023_02;1000
139306;Store 3;Project 2024_03;1500
139477;Store 8;Project 2023_02;3000
139558;Store 16;Project 2024_01;2000
139518;Store 6;Project 2024_03;2000
139411;Store 10;Project 2022_02;2000
139565;Store 12;Project 2022_01;8000
139488;Store 14;Project 2023_03;1000
139504;Store 3;Project 2024_01;2000
139313;Store 4;Project 2024_02;3500
139618;Store 2;Project 2022_01;2000
139357;Store 16;Project 2022_03;1000
139342;Store 10;Project 2023_01;80000
139557;Store 13;Project 2022_02;20000
139446;Store 8;Project 2024_02;20000
139606;Store 14;Project 2024_01;1500
139322;Store 5;Project 2023_01;1000
139576;Store 1;Project 2022_01;2000
139308;Store 2;Project 2024_03;2292
139479;Store 3;Project 2022_02;1516
139479;Store 13;Project 2022_01;1032
139372;Store 13;Project 2024_02;1188
139577;Store 5;Project 2022_03;1184
139522;Store 3;Project 2023_01;3504
139469;Store 1;Project 2023_03;1848
139344;Store 7;Project 2024_02;1732
139461;Store 11;Project 2024_03;1552
139339;Store 11;Project 2024_02;1404
139371;Store 4;Project 2023_01;4859
139549;Store 10;Project 2022_02;5893
139551;Store 3;Project 2024_01;2826
139385;Store 4;Project 2022_02;846
139456;Store 2;Project 2023_02;600
139378;Store 14;Project 2023_01;100
139584;Store 2;Project 2022_03;2990
139302;Store 14;Project 2024_03;846
139576;Store 15;Project 2024_01;693
139575;Store 13;Project 2023_02;400
139505;Store 12;Project 2023_02;200
139392;Store 8;Project 2022_02;15318
139421;Store 16;Project 2024_01;2930
139588;Store 1;Project 2023_01;200
139504;Store 16;Project 2024_01;200
139535;Store 15;Project 2022_01;2949
139626;Store 8;Project 2024_03;400
139411;Store 10;Project 2022_01;50
139473;Store 10;Project 2022_02;200
139546;Store 1;Project 2022_03;15000
139418;Store 4;Project 2024_01;7068
139336;Store 6;Project 2024_01;3528
139553;Store 3;Project 2022_01;3800
139433;Store 5;Project 2024_01;3360
139529;Store 10;Project 2024_03;3300
139421;Store 13;Project 2023_01;23332
139496;Store 9;Project 2024_01;12160
139417;Store 7;Project 2024_02;1464
139460;Store 9;Project 2023_02;15216
139419;Store 1;Project 2023_02;5796
139574;Store 2;Project 2022_01;7476
139612;Store 2;Project 2022_03;7160
139550;Store 3;Project 2023_01;7464
139383;Store 9;Project 2024_01;8136
139550;Store 3;Project 2023_02;3900
139443;Store 1;Project 2022_03;2984
139421;Store 6;Project 2023_03;840
139470;Store 10;Project 2024_03;2268
139355;Store 14;Project 2022_01;6812
139571;Store 1;Project 2022_01;2336
139439;Store 8;Project 2023_02;1788
139372;Store 1;Project 2023_01;29568
139449;Store 3;Project 2023_03;11066
139326;Store 5;Project 2024_02;47120
139377;Store 14;Project 2024_03;12340
139321;Store 7;Project 2024_01;60911
139351;Store 6;Project 2024_01;992
139424;Store 4;Project 2023_01;11689
139587;Store 16;Project 2023_03;9195
139562;Store 16;Project 2022_02;210
139306;Store 10;Project 2024_02;2462
139373;Store 7;Project 2022_01;3000
139527;Store 11;Project 2024_02;3000
139459;Store 16;Project 2024_02;3000
139513;Store 5;Project 2022_02;6000
139426;Store 2;Project 2022_03;1000
139592;Store 1;Project 2023_03;3000
139314;Store 5;Project 2023_02;10000
139568;Store 12;Project 2023_03;2000
139340;Store 1;Project 2024_01;2000
139593;Store 13;Project 2024_03;2000
139529;Store 14;Project 2023_03;13000
139388;Store 11;Project 2022_01;13000
139410;Store 10;Project 2024_03;14000
139493;Store 2;Project 2024_01;13000
139589;Store 14;Project 2023_02;50000
139363;Store 16;Project 2022_02;35000
139537;Store 14;Project 2023_01;44000
139621;Store 7;Project 2024_01;165000
139569;Store 3;Project 2022_01;31000
139606;Store 6;Project 2023_03;45000
139483;Store 11;Project 2024_01;27400
139345;Store 13;Project 2022_02;14000
139444;Store 5;Project 2024_01;30000
139585;Store 12;Project 2024_03;14000
139629;Store 16;Project 2024_01;12000
139559;Store 4;Project 2022_02;12000
139563;Store 3;Project 2024_03;12000
139549;Store 2;Project 2022_02;13000
139418;Store 15;Project 2024_02;12000
139532;Store 5;Project 2022_03;13000
139557;Store 3;Project 2023_02;4000
139608;Store 1;Project 2023_01;2000
139540;Store 10;Project 2024_03;15000
139393;Store 15;Project 2023_01;15000
139483;Store 9;Project 2022_02;12000
139323;Store 13;Project 2024_03;3500
139460;Store 2;Project 2023_01;2000
139420;Store 11;Project 2024_03;8000
139493;Store 15;Project 2023_01;8000
139522;Store 11;Project 2024_01;3200
139563;Store 12;Project 2023_03;8000
139620;Store 14;Project 2022_02;2000
139344;Store 5;Project 2023_02;10000
139533;Store 6;Project 2023_03;14000
139356;Store 1;Project 2022_03;8000
139548;Store 3;Project 2023_01;10000
139439;Store 13;Project 2022_02;20000
139459;Store 8;Project 2022_03;20000
139625;Store 16;Project 2022_02;8000
139642;Store 2;Project 2023_02;8000
139391;Store 6;Project 2023_02;8000
139552;Store 13;Project 2024_01;7000
139538;Store 6;Project 2022_03;10000
139337;Store 15;Project 2022_03;6000
139444;Store 3;Project 2023_01;4000
139301;Store 5;Project 2023_01;2000
139540;Store 3;Project 2024_03;10000
139441;Store 3;Project 2024_03;5000
139571;Store 8;Project 2024_03;12000
139388;Store 14;Project 2024_02;4000
139470;Store 15;Project 2024_01;16000
139300;Store 10;Project 2022_03;10000
139610;Store 5;Project 2023_01;15000
139308;Store 7;Project 2022_02;6000
139616;Store 3;Project 2024_01;45000
139456;Store 11;Project 2022_01;13000
139487;Store 6;Project 2023_03;13000
139460;Store 6;Project 2022_03;3000
139577;Store 1;Project 2023_01;12000
139572;Store 8;Project 2024_01;10000
139510;Store 8;Project 2023_01;14000
139407;Store 5;Project 2022_02;6000
139610;Store 15;Project 2023_02;4000
139485;Store 3;Project 2022_02;4000
139575;Store 2;Project 2024_01;2000
139498;Store 6;Project 2022_02;2000
139597;Store 2;Project 2022_02;8000
139484;Store 2;Project 2022_02;1500
139527;Store 7;Project 2022_02;20000
139331;Store 2;Project 2023_01;5000
139521;Store 2;Project 2023_01;7000
139472;Store 3;Project 2022_01;4000
139387;Store 7;Project 2023_02;40000
139450;Store 4;Project 2022_01;15000
139423;Store 14;Project 2023_01;3000
139310;Store 12;Project 2022_02;70000
139566;Store 7;Project 2022_03;50000
139305;Store 12;Project 2024_02;30000
139603;Store 7;Project 2023_03;15000
139430;Store 3;Project 2023_02;2000
139574;Store 4;Project 2022_01;2000
139366;Store 3;Project 2024_02;4000
139428;Store 4;Project 2023_03;4000
139495;Store 8;Project 2023_02;4000
139580;Store 6;Project 2024_02;3000
139397;Store 3;Project 2023_02;4000
139364;Store 16;Project 2024_01;5000
139433;Store 13;Project 2024_02;8000
139417;Store 12;Project 2024_02;6000
139456;Store 1;Project 2024_01;3000
139467;Store 10;Project 2022_01;2500
139642;Store 2;Project 2022_02;10000
139560;Store 4;Project 2023_01;9000
139401;Store 10;Project 2024_01;35000
139501;Store 2;Project 2024_01;23000
139382;Store 4;Project 2023_01;8000
139630;Store 3;Project 2022_03;2000
139569;Store 8;Project 2023_03;15000
139456;Store 9;Project 2023_03;10000
139631;Store 2;Project 2024_02;3000
139395;Store 7;Project 2023_03;3000
139413;Store 1;Project 2022_03;3000
139438;Store 2;Project 2024_02;2000
139597;Store 1;Project 2022_01;5000
139422;Store 15;Project 2024_01;1500
139361;Store 6;Project 2024_03;6000
139517;Store 8;Project 2023_02;4500
139495;Store 9;Project 2023_01;5000
139394;Store 7;Project 2022_01;3000
139313;Store 6;Project 2022_01;3000
139610;Store 2;Project 2024_01;2000
139470;Store 2;Project 2023_02;2000
139309;Store 2;Project 2023_03;15000
139627;Store 11;Project 2022_03;5000
139457;Store 6;Project 2022_03;5000
139590;Store 8;Project 2024_02;7000
139565;Store 3;Project 2022_03;20000
139632;Store 14;Project 2022_03;2000
139600;Store 2;Project 2022_02;4000
139333;Store 7;Project 2022_02;2500
139443;Store 14;Project 2022_01;2000
139314;Store 8;Project 2023_02;1000
139392;Store 6;Project 2024_02;3000
139384;Store 14;Project 2024_02;3000
139549;Store 3;Project 2022_03;10000
139448;Store 7;Project 2022_02;5000
139524;Store 11;Project 2024_03;5000
139415;Store 14;Project 2022_01;4000
139583;Store 9;Project 2024_03;3000
139622;Store 13;Project 2023_01;3000
139341;Store 12;Project 2023_01;3000
139317;Store 14;Project 2022_02;2000
139378;Store 6;Project 2024_03;4000
139434;Store 2;Project 2024_03;3000
139610;Store 6;Project 2023_02;4000
139516;Store 7;Project 2024_03;4000
139610;Store 10;Project 2023_01;3000
139307;Store 7;Project 2022_02;3000
139608;Store 16;Project 2024_01;4000
139431;Store 13;Project 2024_02;3000
139597;Store 2;Project 2022_01;5000
139605;Store 13;Project 2024_03;4000
139426;Store 12;Project 2023_01;4000
139359;Store 15;Project 2024_02;6000
139468;Store 1;Project 2024_03;1200
139400;Store 2;Project 2023_01;4000
139555;Store 12;Project 2024_02;8000
139485;Store 2;Project 2022_02;6000
139452;Store 11;Project 2023_02;2000
139490;Store 2;Project 2024_02;1000
139550;Store 7;Project 2023_02;6000
139592;Store 10;Project 2022_03;1000
139465;Store 11;Project 2022_01;2500
139361;Store 11;Project 2023_01;15000
139597;Store 14;Project 2023_03;2000
139441;Store 8;Project 2023_03;1500
139463;Store 2;Project 2022_01;2000
139541;Store 6;Project 2023_03;25000
139361;Store 4;Project 2024_02;15000
139359;Store 12;Project 2023_01;2000
139462;Store 15;Project 2023_03;23000
139419;Store 7;Project 2023_03;4000
139517;Store 15;Project 2024_03;3000
139556;Store 7;Project 2022_01;12000
139588;Store 13;Project 2023_03;4500
139570;Store 5;Project 2022_01;27000
139460;Store 15;Project 2024_01;320000
139559;Store 3;Project 2022_02;10000
139549;Store 5;Project 2023_02;36000
139422;Store 9;Project 2023_01;13400
139306;Store 13;Project 2022_03;25000
139585;Store 9;Project 2023_03;73000
139492;Store 9;Project 2023_03;25000
139460;Store 2;Project 2023_01;25000
139524;Store 14;Project 2022_03;10000
139449;Store 6;Project 2023_03;16000
139374;Store 9;Project 2022_02;9000
139528;Store 12;Project 2023_01;30000
139454;Store 14;Project 2024_02;26000
139519;Store 3;Project 2023_01;17000
139466;Store 5;Project 2022_01;16500
139536;Store 2;Project 2024_02;15000
139548;Store 9;Project 2024_03;15000
139640;Store 5;Project 2022_03;7500
139536;Store 5;Project 2023_02;10500
139320;Store 7;Project 2022_01;8000
139352;Store 11;Project 2023_01;9000
139555;Store 13;Project 2023_03;7000
139474;Store 1;Project 2023_01;3000
139567;Store 7;Project 2024_01;2500
139335;Store 12;Project 2022_01;4000
139459;Store 5;Project 2023_02;4000
139632;Store 6;Project 2023_03;2000
139592;Store 15;Project 2022_03;10000
139605;Store 4;Project 2023_01;15000
139507;Store 4;Project 2022_02;6000
139426;Store 16;Project 2022_03;7000
139598;Store 7;Project 2024_03;10000
139601;Store 12;Project 2023_01;5000
139343;Store 8;Project 2023_03;28000
139517;Store 11;Project 2024_02;4000
139322;Store 10;Project 2023_03;5000
139368;Store 7;Project 2022_02;3000
139427;Store 14;Project 2023_01;9000
139449;Store 1;Project 2022_03;7000
139423;Store 5;Project 2023_02;9000
139555;Store 11;Project 2023_01;8000
139560;Store 6;Project 2023_03;10000
139468;Store 11;Project 2022_02;5000
139577;Store 5;Project 2022_03;9000
139565;Store 11;Project 2024_03;5000
139561;Store 8;Project 2023_03;25000
139402;Store 14;Project 2022_02;15000
139349;Store 4;Project 2022_03;15000
139512;Store 13;Project 2023_03;7000
139632;Store 5;Project 2024_02;10000
139405;Store 7;Project 2022_01;5000
139510;Store 6;Project 2022_02;9000
139516;Store 12;Project 2023_02;2500
139350;Store 6;Project 2024_03;5000
139450;Store 4;Project 2023_01;5900
139601;Store 11;Project 2022_02;8000
139509;Store 15;Project 2022_03;15000
139332;Store 10;Project 2022_02;15000
139472;Store 1;Project 2023_01;5000
139577;Store 10;Project 2024_03;6000
139531;Store 15;Project 2023_02;7000
139412;Store 7;Project 2024_03;4700
139572;Store 14;Project 2022_02;5000
139312;Store 9;Project 2022_02;10000
139621;Store 14;Project 2024_02;5000
139321;Store 10;Project 2022_02;10000
139553;Store 12;Project 2022_01;12000
139389;Store 13;Project 2022_01;6000
139493;Store 1;Project 2024_01;7000
139504;Store 1;Project 2022_03;2000
139376;Store 12;Project 2022_03;2000
139493;Store 4;Project 2023_02;2000
139418;Store 10;Project 2022_03;4000
139581;Store 13;Project 2023_03;7000
139579;Store 12;Project 2022_03;7000
