DATE;GTIN 13;Store;Sales;;
26/05/2022;139681;Store 13;73;;
26/05/2022;139728;Store 2;307;;
26/05/2022;139712;Store 8;6;;
26/05/2022;139459;Store 4;30;;
26/05/2022;139575;Store 5;140;;
26/05/2022;139444;Store 8;351;;
26/05/2022;139941;Store 15;2;;
26/05/2022;139844;Store 15;22;;
26/05/2022;139843;Store 4;24;;
26/05/2022;139695;Store 11;70;;
26/05/2022;139499;Store 6;22;;
26/05/2022;139657;Store 7;102;;
26/05/2022;139585;Store 8;1;;
26/05/2022;139844;Store 2;38;;
26/05/2022;139788;Store 14;144;;
26/05/2022;139749;Store 16;202;;
26/05/2022;139527;Store 5;38;;
26/05/2022;139523;Store 4;115;;
26/05/2022;139678;Store 8;1;;
26/05/2022;139727;Store 10;119;;
26/05/2022;139548;Store 16;11;;
26/05/2022;139479;Store 13;21;;
26/05/2022;139746;Store 12;18;;
26/05/2022;139798;Store 10;20;;
26/05/2022;139875;Store 2;13;;
26/05/2022;139655;Store 12;10;;
26/05/2022;139705;Store 4;124;;
26/05/2022;139671;Store 13;57;;
26/05/2022;139530;Store 5;46;;
26/05/2022;139591;Store 11;0;;
26/05/2022;139813;Store 16;127;;
26/05/2022;139657;Store 14;22;;
26/05/2022;139637;Store 9;19;;
26/05/2022;139734;Store 6;15;;
27/05/2022;139759;Store 1;38;;
27/05/2022;139589;Store 9;52;;
27/05/2022;139783;Store 8;107;;
27/05/2022;139530;Store 7;4;;
27/05/2022;139873;Store 2;33;;
27/05/2022;139631;Store 4;116;;
27/05/2022;139873;Store 5;-1;;
27/05/2022;139543;Store 2;68;;
27/05/2022;139548;Store 14;31;;
27/05/2022;139779;Store 3;138;;
27/05/2022;139886;Store 16;163;;
27/05/2022;139482;Store 10;198;;
27/05/2022;139791;Store 13;27;;
27/05/2022;139425;Store 1;2;;
27/05/2022;139625;Store 11;144;;
27/05/2022;139913;Store 5;130;;
27/05/2022;139556;Store 4;23;;
27/05/2022;139482;Store 3;9;;
27/05/2022;139799;Store 12;152;;
27/05/2022;139448;Store 5;2;;
27/05/2022;139797;Store 14;131;;
27/05/2022;139683;Store 10;12;;
27/05/2022;139554;Store 3;211;;
27/05/2022;139603;Store 8;1;;
27/05/2022;139852;Store 14;39;;
27/05/2022;139937;Store 16;340;;
27/05/2022;139647;Store 14;25;;
27/05/2022;139830;Store 4;26;;
27/05/2022;139795;Store 2;168;;
27/05/2022;139697;Store 13;20;;
27/05/2022;139792;Store 14;58;;
27/05/2022;139513;Store 12;18;;
27/05/2022;139871;Store 4;35;;
27/05/2022;139606;Store 10;4;;
27/05/2022;139541;Store 7;187;;
27/05/2022;139499;Store 9;12;;
27/05/2022;139749;Store 10;223;;
27/05/2022;139794;Store 1;1;;
27/05/2022;139894;Store 14;70;;
27/05/2022;139782;Store 13;109;;
28/05/2022;139864;Store 7;50;;
28/05/2022;139681;Store 1;187;;
28/05/2022;139762;Store 12;2;;
28/05/2022;139761;Store 16;7;;
28/05/2022;139435;Store 8;7;;
28/05/2022;139870;Store 11;74;;
28/05/2022;139488;Store 7;41;;
28/05/2022;139881;Store 12;93;;
28/05/2022;139807;Store 7;103;;
28/05/2022;139459;Store 5;244;;
28/05/2022;139773;Store 15;494;;
28/05/2022;139756;Store 7;91;;
28/05/2022;139606;Store 6;19;;
28/05/2022;139748;Store 8;34;;
28/05/2022;139672;Store 12;16;;
28/05/2022;139652;Store 8;126;;
28/05/2022;139795;Store 11;1;;
28/05/2022;139823;Store 10;38;;
28/05/2022;139937;Store 15;28;;
28/05/2022;139816;Store 8;105;;
28/05/2022;139621;Store 14;215;;
28/05/2022;139797;Store 10;139;;
28/05/2022;139525;Store 12;9;;
28/05/2022;139727;Store 16;34;;
28/05/2022;139499;Store 14;1;;
28/05/2022;139755;Store 16;43;;
28/05/2022;139570;Store 13;7;;
28/05/2022;139551;Store 1;2;;
28/05/2022;139693;Store 7;16;;
28/05/2022;139546;Store 14;39;;
28/05/2022;139811;Store 3;80;;
28/05/2022;139435;Store 13;13;;
28/05/2022;139930;Store 12;56;;
28/05/2022;139722;Store 5;325;;
28/05/2022;139694;Store 14;143;;
28/05/2022;139870;Store 13;72;;
28/05/2022;139914;Store 9;23;;
28/05/2022;139418;Store 13;61;;
28/05/2022;139658;Store 16;71;;
28/05/2022;139836;Store 15;148;;
28/05/2022;139458;Store 2;73;;
28/05/2022;139684;Store 2;15;;
28/05/2022;139784;Store 16;4;;
28/05/2022;139920;Store 12;219;;
28/05/2022;139608;Store 3;66;;
28/05/2022;139443;Store 4;26;;
28/05/2022;139922;Store 6;115;;
29/05/2022;139813;Store 10;1;;
29/05/2022;139549;Store 13;54;;
29/05/2022;139798;Store 1;64;;
29/05/2022;139549;Store 5;2;;
29/05/2022;139730;Store 10;8;;
29/05/2022;139913;Store 5;9;;
29/05/2022;139712;Store 2;8;;
29/05/2022;139656;Store 11;107;;
29/05/2022;139609;Store 6;285;;
29/05/2022;139880;Store 12;15;;
29/05/2022;139938;Store 7;202;;
29/05/2022;139856;Store 4;6;;
29/05/2022;139498;Store 14;1;;
29/05/2022;139779;Store 10;37;;
29/05/2022;139569;Store 5;152;;
29/05/2022;139426;Store 5;14;;
29/05/2022;139633;Store 4;1;;
29/05/2022;139864;Store 7;59;;
29/05/2022;139481;Store 16;66;;
29/05/2022;139863;Store 7;27;;
29/05/2022;139732;Store 14;14;;
29/05/2022;139412;Store 6;1;;
29/05/2022;139885;Store 13;61;;
29/05/2022;139904;Store 14;31;;
29/05/2022;139941;Store 13;23;;
29/05/2022;139927;Store 5;632;;
29/05/2022;139745;Store 6;46;;
29/05/2022;139930;Store 16;101;;
29/05/2022;139673;Store 12;15;;
29/05/2022;139495;Store 9;838;;
29/05/2022;139797;Store 2;1949;;
29/05/2022;139629;Store 10;30;;
29/05/2022;139865;Store 14;18;;
30/05/2022;139695;Store 10;64;;
30/05/2022;139906;Store 3;1117;;
30/05/2022;139806;Store 2;1;;
30/05/2022;139567;Store 14;5;;
30/05/2022;139865;Store 14;22;;
30/05/2022;139848;Store 13;188;;
30/05/2022;139804;Store 12;36;;
30/05/2022;139753;Store 10;89;;
30/05/2022;139811;Store 16;236;;
30/05/2022;139481;Store 12;26;;
30/05/2022;139752;Store 11;29;;
30/05/2022;139498;Store 16;95;;
30/05/2022;139893;Store 8;39;;
30/05/2022;139496;Store 6;14;;
30/05/2022;139557;Store 4;7;;
30/05/2022;139807;Store 7;52;;
30/05/2022;139602;Store 10;243;;
30/05/2022;139704;Store 10;11;;
30/05/2022;139790;Store 5;29;;
30/05/2022;139541;Store 6;5;;
30/05/2022;139728;Store 16;1830;;
30/05/2022;139447;Store 11;6;;
30/05/2022;139703;Store 6;1335;;
30/05/2022;139437;Store 16;33;;
30/05/2022;139705;Store 13;59;;
30/05/2022;139547;Store 4;34;;
30/05/2022;139895;Store 6;33;;
30/05/2022;139620;Store 10;23;;
30/05/2022;139662;Store 16;25;;
30/05/2022;139416;Store 13;1108;;
30/05/2022;139589;Store 8;54;;
30/05/2022;139512;Store 16;35;;
30/05/2022;139614;Store 3;41;;
30/05/2022;139893;Store 4;206;;
30/05/2022;139904;Store 15;63;;
30/05/2022;139590;Store 16;3;;
30/05/2022;139511;Store 2;143;;
30/05/2022;139419;Store 2;183;;
30/05/2022;139846;Store 11;4;;
31/05/2022;139803;Store 8;13;;
31/05/2022;139560;Store 12;11;;
31/05/2022;139453;Store 1;2007;;
31/05/2022;139641;Store 2;4;;
31/05/2022;139664;Store 11;118;;
31/05/2022;139420;Store 10;28;;
31/05/2022;139770;Store 2;38;;
31/05/2022;139720;Store 2;144;;
31/05/2022;139497;Store 6;17;;
31/05/2022;139736;Store 10;70;;
31/05/2022;139553;Store 7;50;;
31/05/2022;139600;Store 15;3;;
31/05/2022;139672;Store 6;91;;
31/05/2022;139889;Store 3;88;;
31/05/2022;139758;Store 7;31;;
31/05/2022;139401;Store 16;84;;
31/05/2022;139743;Store 14;67;;
31/05/2022;139407;Store 16;50;;
31/05/2022;139808;Store 14;262;;
31/05/2022;139587;Store 9;4;;
31/05/2022;139726;Store 11;142;;
31/05/2022;139844;Store 15;170;;
31/05/2022;139545;Store 6;193;;
31/05/2022;139779;Store 9;70;;
31/05/2022;139545;Store 16;45;;
31/05/2022;139781;Store 4;56;;
31/05/2022;139767;Store 15;8;;
31/05/2022;139671;Store 14;44;;
31/05/2022;139838;Store 11;1;;
31/05/2022;139687;Store 16;176;;
31/05/2022;139806;Store 2;17;;
31/05/2022;139725;Store 3;22;;
31/05/2022;139933;Store 7;70;;
31/05/2022;139595;Store 10;90;;
31/05/2022;139661;Store 14;53;;
31/05/2022;139547;Store 2;7;;
31/05/2022;139713;Store 16;35;;
31/05/2022;139562;Store 2;143;;
31/05/2022;139652;Store 8;65;;
01/06/2022;139415;Store 13;44;;
01/06/2022;139910;Store 8;20;;
01/06/2022;139897;Store 5;119;;
01/06/2022;139553;Store 6;195;;
01/06/2022;139640;Store 16;2;;
01/06/2022;139442;Store 14;12;;
01/06/2022;139696;Store 8;4;;
01/06/2022;139934;Store 9;9;;
01/06/2022;139647;Store 12;27;;
01/06/2022;139602;Store 2;31;;
01/06/2022;139754;Store 15;1;;
01/06/2022;139434;Store 2;148;;
01/06/2022;139563;Store 8;42;;
01/06/2022;139593;Store 9;530;;
01/06/2022;139738;Store 11;120;;
01/06/2022;139644;Store 1;372;;
01/06/2022;139650;Store 6;1;;
01/06/2022;139935;Store 14;665;;
01/06/2022;139492;Store 16;153;;
01/06/2022;139469;Store 3;109;;
01/06/2022;139580;Store 5;51;;
01/06/2022;139714;Store 1;19;;
01/06/2022;139799;Store 11;573;;
01/06/2022;139888;Store 12;5;;
01/06/2022;139804;Store 12;20;;
01/06/2022;139653;Store 4;62;;
01/06/2022;139879;Store 8;111;;
01/06/2022;139679;Store 7;44;;
01/06/2022;139414;Store 15;144;;
01/06/2022;139745;Store 10;283;;
01/06/2022;139465;Store 6;57;;
01/06/2022;139843;Store 6;15;;
01/06/2022;139773;Store 10;143;;
01/06/2022;139411;Store 8;76;;
01/06/2022;139666;Store 16;30;;
01/06/2022;139910;Store 3;3;;
01/06/2022;139812;Store 8;822;;
01/06/2022;139519;Store 13;182;;
01/06/2022;139762;Store 3;122;;
01/06/2022;139580;Store 15;20;;
01/06/2022;139411;Store 1;75;;
01/06/2022;139839;Store 15;85;;
01/06/2022;139755;Store 10;3;;
01/06/2022;139438;Store 2;82;;
02/06/2022;139709;Store 2;566;;
02/06/2022;139729;Store 16;17;;
02/06/2022;139465;Store 11;187;;
02/06/2022;139860;Store 1;97;;
02/06/2022;139916;Store 6;159;;
02/06/2022;139662;Store 4;39;;
02/06/2022;139492;Store 10;94;;
02/06/2022;139788;Store 12;30;;
02/06/2022;139538;Store 15;5;;
02/06/2022;139777;Store 7;105;;
02/06/2022;139503;Store 10;151;;
02/06/2022;139498;Store 6;3;;
02/06/2022;139521;Store 8;5;;
02/06/2022;139927;Store 5;27;;
02/06/2022;139918;Store 4;28;;
02/06/2022;139583;Store 2;416;;
02/06/2022;139912;Store 4;84;;
02/06/2022;139744;Store 8;49;;
02/06/2022;139540;Store 5;59;;
02/06/2022;139656;Store 2;1;;
02/06/2022;139595;Store 8;79;;
02/06/2022;139544;Store 8;88;;
02/06/2022;139499;Store 14;52;;
02/06/2022;139551;Store 10;10;;
02/06/2022;139663;Store 9;9;;
02/06/2022;139793;Store 16;1;;
02/06/2022;139884;Store 7;71;;
02/06/2022;139448;Store 5;83;;
02/06/2022;139780;Store 10;36;;
02/06/2022;139598;Store 3;61;;
02/06/2022;139774;Store 12;13;;
02/06/2022;139579;Store 8;23;;
02/06/2022;139654;Store 15;296;;
02/06/2022;139737;Store 11;24;;
02/06/2022;139618;Store 1;138;;
02/06/2022;139534;Store 10;18;;
02/06/2022;139470;Store 4;391;;
02/06/2022;139423;Store 9;15;;
03/06/2022;139749;Store 1;8;;
03/06/2022;139884;Store 7;28;;
03/06/2022;139790;Store 5;17;;
03/06/2022;139411;Store 13;18;;
03/06/2022;139649;Store 15;418;;
03/06/2022;139734;Store 1;166;;
03/06/2022;139424;Store 10;5;;
03/06/2022;139757;Store 15;24;;
03/06/2022;139675;Store 8;446;;
03/06/2022;139721;Store 3;46;;
03/06/2022;139767;Store 2;4;;
03/06/2022;139426;Store 12;167;;
03/06/2022;139875;Store 13;532;;
03/06/2022;139885;Store 15;15;;
03/06/2022;139639;Store 11;97;;
03/06/2022;139499;Store 12;16;;
03/06/2022;139629;Store 1;149;;
03/06/2022;139646;Store 10;54;;
03/06/2022;139813;Store 12;99;;
03/06/2022;139533;Store 6;278;;
03/06/2022;139537;Store 9;3;;
03/06/2022;139701;Store 8;7;;
03/06/2022;139440;Store 10;5;;
03/06/2022;139708;Store 11;24;;
03/06/2022;139869;Store 11;885;;
03/06/2022;139834;Store 11;9;;
03/06/2022;139850;Store 7;1;;
03/06/2022;139593;Store 15;184;;
03/06/2022;139798;Store 13;9;;
03/06/2022;139892;Store 1;49;;
03/06/2022;139473;Store 6;25;;
03/06/2022;139905;Store 7;8;;
03/06/2022;139610;Store 13;100;;
03/06/2022;139562;Store 9;1;;
03/06/2022;139615;Store 2;349;;
03/06/2022;139593;Store 13;8;;
03/06/2022;139860;Store 16;29;;
03/06/2022;139545;Store 15;307;;
03/06/2022;139600;Store 15;1520;;
03/06/2022;139883;Store 13;6;;
03/06/2022;139740;Store 10;20;;
03/06/2022;139424;Store 6;60;;
03/06/2022;139667;Store 15;5;;
03/06/2022;139489;Store 15;17;;
03/06/2022;139756;Store 8;195;;
03/06/2022;139545;Store 11;115;;
03/06/2022;139454;Store 9;60;;
04/06/2022;139847;Store 2;27;;
04/06/2022;139836;Store 10;758;;
04/06/2022;139430;Store 5;14;;
04/06/2022;139564;Store 4;14;;
04/06/2022;139881;Store 9;11;;
04/06/2022;139797;Store 5;1;;
04/06/2022;139792;Store 9;2;;
04/06/2022;139469;Store 11;8;;
04/06/2022;139643;Store 6;364;;
04/06/2022;139909;Store 8;87;;
04/06/2022;139840;Store 5;96;;
04/06/2022;139880;Store 5;137;;
04/06/2022;139410;Store 7;13;;
04/06/2022;139401;Store 5;139;;
04/06/2022;139722;Store 15;31;;
04/06/2022;139530;Store 11;153;;
04/06/2022;139764;Store 7;12;;
04/06/2022;139869;Store 9;117;;
04/06/2022;139901;Store 6;14;;
04/06/2022;139569;Store 15;36;;
04/06/2022;139668;Store 8;54;;
04/06/2022;139725;Store 11;55;;
04/06/2022;139414;Store 10;283;;
04/06/2022;139798;Store 4;313;;
04/06/2022;139797;Store 15;41;;
04/06/2022;139740;Store 11;7;;
04/06/2022;139719;Store 4;217;;
04/06/2022;139876;Store 15;166;;
04/06/2022;139762;Store 5;203;;
04/06/2022;139526;Store 16;83;;
04/06/2022;139421;Store 10;4;;
04/06/2022;139596;Store 16;81;;
04/06/2022;139447;Store 11;39;;
04/06/2022;139532;Store 15;96;;
05/06/2022;139534;Store 14;1;;
05/06/2022;139597;Store 4;25;;
05/06/2022;139779;Store 15;5;;
05/06/2022;139819;Store 6;25;;
05/06/2022;139885;Store 6;73;;
05/06/2022;139495;Store 16;4;;
05/06/2022;139725;Store 3;40;;
05/06/2022;139643;Store 11;83;;
05/06/2022;139477;Store 16;67;;
05/06/2022;139645;Store 14;75;;
05/06/2022;139434;Store 4;85;;
05/06/2022;139855;Store 11;25;;
05/06/2022;139885;Store 6;2441;;
05/06/2022;139424;Store 3;86;;
05/06/2022;139466;Store 12;32;;
05/06/2022;139539;Store 1;4;;
05/06/2022;139444;Store 13;95;;
05/06/2022;139919;Store 8;29;;
05/06/2022;139885;Store 11;23;;
05/06/2022;139655;Store 7;7;;
05/06/2022;139443;Store 2;1499;;
05/06/2022;139424;Store 4;192;;
05/06/2022;139421;Store 1;38;;
05/06/2022;139725;Store 5;12;;
05/06/2022;139834;Store 6;171;;
05/06/2022;139857;Store 10;60;;
05/06/2022;139688;Store 15;4;;
05/06/2022;139669;Store 11;29;;
05/06/2022;139764;Store 14;4;;
05/06/2022;139718;Store 15;3;;
05/06/2022;139550;Store 6;39;;
05/06/2022;139703;Store 11;72;;
05/06/2022;139779;Store 3;57;;
05/06/2022;139857;Store 10;154;;
05/06/2022;139887;Store 3;24;;
05/06/2022;139929;Store 2;25;;
05/06/2022;139931;Store 8;56;;
05/06/2022;139927;Store 2;9;;
05/06/2022;139779;Store 15;46;;
06/06/2022;139578;Store 2;42;;
06/06/2022;139469;Store 5;629;;
06/06/2022;139885;Store 6;40;;
06/06/2022;139630;Store 5;95;;
06/06/2022;139680;Store 15;27;;
06/06/2022;139736;Store 8;357;;
06/06/2022;139629;Store 8;14;;
06/06/2022;139620;Store 8;70;;
06/06/2022;139569;Store 8;37;;
06/06/2022;139896;Store 2;102;;
06/06/2022;139445;Store 13;101;;
06/06/2022;139875;Store 3;54;;
06/06/2022;139558;Store 1;5;;
06/06/2022;139554;Store 15;2;;
06/06/2022;139686;Store 2;4;;
06/06/2022;139666;Store 6;7;;
06/06/2022;139492;Store 8;120;;
06/06/2022;139815;Store 4;21;;
06/06/2022;139921;Store 11;112;;
06/06/2022;139449;Store 16;50;;
06/06/2022;139757;Store 9;5;;
06/06/2022;139541;Store 6;27;;
06/06/2022;139439;Store 2;12;;
06/06/2022;139580;Store 16;24;;
06/06/2022;139716;Store 7;356;;
06/06/2022;139457;Store 4;17;;
06/06/2022;139401;Store 9;242;;
06/06/2022;139796;Store 3;207;;
06/06/2022;139785;Store 8;91;;
06/06/2022;139611;Store 12;10;;
06/06/2022;139685;Store 14;4;;
06/06/2022;139547;Store 2;2;;
06/06/2022;139861;Store 1;57;;
06/06/2022;139777;Store 12;9;;
06/06/2022;139563;Store 4;128;;
06/06/2022;139567;Store 1;311;;
06/06/2022;139730;Store 6;25;;
06/06/2022;139779;Store 15;18;;
06/06/2022;139414;Store 5;18;;
06/06/2022;139556;Store 12;36;;
06/06/2022;139931;Store 1;3;;
06/06/2022;139724;Store 16;1;;
07/06/2022;139581;Store 8;17;;
07/06/2022;139563;Store 2;87;;
07/06/2022;139584;Store 1;14;;
07/06/2022;139416;Store 2;179;;
07/06/2022;139534;Store 11;163;;
07/06/2022;139496;Store 1;23;;
07/06/2022;139802;Store 7;22;;
07/06/2022;139622;Store 16;11;;
07/06/2022;139940;Store 3;6;;
07/06/2022;139524;Store 6;70;;
07/06/2022;139472;Store 13;62;;
07/06/2022;139564;Store 4;43;;
07/06/2022;139507;Store 13;83;;
07/06/2022;139870;Store 9;2;;
07/06/2022;139479;Store 13;440;;
07/06/2022;139651;Store 5;13;;
07/06/2022;139579;Store 13;15;;
07/06/2022;139650;Store 8;7;;
07/06/2022;139901;Store 2;5;;
07/06/2022;139936;Store 11;75;;
07/06/2022;139616;Store 14;51;;
07/06/2022;139473;Store 1;9;;
07/06/2022;139847;Store 5;40;;
07/06/2022;139564;Store 11;55;;
07/06/2022;139650;Store 10;45;;
07/06/2022;139507;Store 7;164;;
07/06/2022;139712;Store 13;6;;
07/06/2022;139845;Store 1;23;;
07/06/2022;139902;Store 3;40;;
07/06/2022;139828;Store 15;4;;
07/06/2022;139931;Store 2;51;;
07/06/2022;139833;Store 2;21;;
07/06/2022;139532;Store 8;104;;
07/06/2022;139812;Store 4;50;;
07/06/2022;139516;Store 5;29;;
07/06/2022;139800;Store 16;68;;
07/06/2022;139634;Store 7;8;;
07/06/2022;139588;Store 2;27;;
07/06/2022;139542;Store 8;68;;
07/06/2022;139434;Store 16;107;;
07/06/2022;139693;Store 7;112;;
07/06/2022;139846;Store 14;34;;
07/06/2022;139484;Store 2;399;;
07/06/2022;139429;Store 14;90;;
07/06/2022;139594;Store 11;1;;
08/06/2022;139760;Store 8;14;;
08/06/2022;139592;Store 9;56;;
08/06/2022;139783;Store 6;17;;
08/06/2022;139888;Store 7;138;;
08/06/2022;139851;Store 8;35;;
08/06/2022;139414;Store 4;100;;
08/06/2022;139489;Store 15;87;;
08/06/2022;139909;Store 2;62;;
08/06/2022;139428;Store 1;48;;
08/06/2022;139484;Store 12;59;;
08/06/2022;139777;Store 2;2;;
08/06/2022;139579;Store 5;161;;
08/06/2022;139569;Store 14;175;;
08/06/2022;139414;Store 2;76;;
08/06/2022;139875;Store 9;17;;
08/06/2022;139596;Store 5;125;;
08/06/2022;139690;Store 3;133;;
08/06/2022;139631;Store 16;5;;
08/06/2022;139848;Store 16;10;;
08/06/2022;139804;Store 16;317;;
08/06/2022;139626;Store 3;2;;
08/06/2022;139746;Store 15;124;;
08/06/2022;139498;Store 11;7;;
08/06/2022;139534;Store 5;2;;
08/06/2022;139863;Store 7;10;;
08/06/2022;139584;Store 8;32;;
08/06/2022;139928;Store 3;24;;
08/06/2022;139604;Store 15;151;;
08/06/2022;139829;Store 10;85;;
08/06/2022;139757;Store 1;23;;
08/06/2022;139819;Store 7;187;;
08/06/2022;139628;Store 2;4;;
08/06/2022;139609;Store 11;42;;
08/06/2022;139599;Store 10;12;;
08/06/2022;139929;Store 9;11;;
08/06/2022;139673;Store 12;87;;
08/06/2022;139468;Store 14;9;;
08/06/2022;139534;Store 11;33;;
08/06/2022;139412;Store 2;38;;
09/06/2022;139875;Store 8;8;;
09/06/2022;139508;Store 11;12;;
09/06/2022;139877;Store 15;77;;
09/06/2022;139880;Store 2;76;;
09/06/2022;139459;Store 13;43;;
09/06/2022;139765;Store 11;941;;
09/06/2022;139556;Store 1;126;;
09/06/2022;139650;Store 9;188;;
09/06/2022;139485;Store 4;205;;
09/06/2022;139464;Store 14;22;;
09/06/2022;139494;Store 1;9;;
09/06/2022;139770;Store 13;838;;
09/06/2022;139873;Store 2;3;;
09/06/2022;139651;Store 14;87;;
09/06/2022;139653;Store 1;49;;
09/06/2022;139778;Store 3;97;;
09/06/2022;139770;Store 11;4;;
09/06/2022;139836;Store 12;8;;
09/06/2022;139594;Store 15;41;;
09/06/2022;139918;Store 6;57;;
09/06/2022;139458;Store 9;138;;
09/06/2022;139493;Store 1;489;;
09/06/2022;139416;Store 1;86;;
09/06/2022;139681;Store 12;70;;
09/06/2022;139823;Store 10;19;;
09/06/2022;139651;Store 15;31;;
09/06/2022;139794;Store 16;115;;
09/06/2022;139471;Store 11;4;;
09/06/2022;139486;Store 11;213;;
09/06/2022;139797;Store 2;191;;
09/06/2022;139898;Store 10;46;;
09/06/2022;139556;Store 2;293;;
09/06/2022;139761;Store 12;8;;
09/06/2022;139469;Store 7;2064;;
09/06/2022;139510;Store 6;775;;
09/06/2022;139400;Store 10;89;;
09/06/2022;139525;Store 8;28;;
09/06/2022;139683;Store 7;47;;
09/06/2022;139660;Store 7;12;;
09/06/2022;139471;Store 8;11;;
10/06/2022;139600;Store 5;32;;
10/06/2022;139539;Store 12;24;;
10/06/2022;139691;Store 4;116;;
10/06/2022;139701;Store 8;1503;;
10/06/2022;139666;Store 15;13;;
10/06/2022;139652;Store 10;21;;
10/06/2022;139913;Store 5;154;;
10/06/2022;139726;Store 2;15;;
10/06/2022;139759;Store 5;66;;
10/06/2022;139736;Store 9;36;;
10/06/2022;139897;Store 11;103;;
10/06/2022;139579;Store 16;45;;
10/06/2022;139571;Store 11;92;;
10/06/2022;139487;Store 3;34;;
10/06/2022;139412;Store 2;57;;
10/06/2022;139908;Store 8;17;;
10/06/2022;139449;Store 11;3;;
10/06/2022;139838;Store 12;111;;
10/06/2022;139775;Store 14;45;;
10/06/2022;139790;Store 2;53;;
10/06/2022;139541;Store 16;22;;
10/06/2022;139891;Store 7;23;;
10/06/2022;139850;Store 13;0;;
10/06/2022;139436;Store 12;74;;
10/06/2022;139839;Store 6;81;;
10/06/2022;139569;Store 9;138;;
10/06/2022;139533;Store 6;3;;
10/06/2022;139408;Store 7;105;;
10/06/2022;139840;Store 11;73;;
10/06/2022;139848;Store 2;122;;
10/06/2022;139902;Store 12;171;;
10/06/2022;139573;Store 5;647;;
10/06/2022;139616;Store 14;86;;
10/06/2022;139450;Store 16;21;;
10/06/2022;139728;Store 4;59;;
11/06/2022;139608;Store 5;151;;
11/06/2022;139680;Store 4;310;;
11/06/2022;139754;Store 9;22;;
11/06/2022;139473;Store 13;2;;
11/06/2022;139457;Store 7;19;;
11/06/2022;139410;Store 9;772;;
11/06/2022;139692;Store 7;45;;
11/06/2022;139801;Store 8;112;;
11/06/2022;139403;Store 11;62;;
11/06/2022;139667;Store 11;154;;
11/06/2022;139671;Store 2;37;;
11/06/2022;139891;Store 15;2;;
11/06/2022;139610;Store 3;30;;
11/06/2022;139837;Store 1;120;;
11/06/2022;139542;Store 1;95;;
11/06/2022;139616;Store 12;41;;
11/06/2022;139597;Store 7;21;;
11/06/2022;139482;Store 8;18;;
11/06/2022;139777;Store 6;42;;
11/06/2022;139466;Store 1;39;;
11/06/2022;139690;Store 11;83;;
11/06/2022;139797;Store 13;23;;
11/06/2022;139734;Store 9;39;;
11/06/2022;139914;Store 15;40;;
11/06/2022;139788;Store 2;34;;
11/06/2022;139498;Store 6;7;;
11/06/2022;139426;Store 5;628;;
11/06/2022;139676;Store 3;3;;
