Order number;ETD Initial;ETD Updated;GTIN13;No BU;store number;Ordered Quantity;TEU;lat,long;no ship
17400;24/03/2023;24/03/2023;139634;7;Store 7;70;1.7343975903614457;;CMA3535
17400;24/03/2023;24/03/2023;139850;7;Store 7;72;3.8097590361445777;;CMA3535
17400;24/03/2023;24/03/2023;139714;7;Store 7;99;2.7436445783132526;;CMA3535
10321;25/03/2023;25/03/2023;139538;7;Store 7;28;1.8921686746987951;;CMA3532
10321;25/03/2023;25/03/2023;139402;7;Store 7;98;0.6566265060240963;;CMA3532
10321;25/03/2023;25/03/2023;139836;7;Store 7;87;0.9093975903614457;;CMA3532
17085;20/01/2023;;139641;10;Store 10;78;0;;CMA3539
17085;20/01/2023;;139778;10;Store 10;39;0;;CMA3539
17085;20/01/2023;;139632;10;Store 10;62;0;;CMA3539
17085;20/01/2023;;139481;10;Store 10;12;0;;CMA3539
17085;20/01/2023;;139438;10;Store 10;60;0;;CMA3539
17085;20/01/2023;;139690;10;Store 10;48;0;;CMA3539
17085;20/01/2023;;139332;10;Store 10;76;0;;CMA3539
17085;20/01/2023;;139518;10;Store 10;33;0;;CMA3539
13400;03/03/2023;;139853;11;Store 11;26;0;;CMA3538
13400;03/03/2023;;139698;11;Store 11;36;0;;CMA3538
13400;03/03/2023;;139685;11;Store 11;36;0;;CMA3538
13400;03/03/2023;;139314;11;Store 11;35;0;;CMA3538
13400;03/03/2023;;139398;11;Store 11;96;0;;CMA3538
13400;03/03/2023;;139505;11;Store 11;83;0;;CMA3538
13400;03/03/2023;;139311;11;Store 11;91;0;;CMA3538
13400;03/03/2023;;139647;11;Store 11;14;0;;CMA3538
13400;03/03/2023;;139703;11;Store 11;68;0;;CMA3538
13400;03/03/2023;;139698;11;Store 11;16;0;;CMA3538
13400;03/03/2023;;139373;11;Store 11;88;0;;CMA3538
13400;03/03/2023;;139598;11;Store 11;31;0;;CMA3538
13400;03/03/2023;;139681;11;Store 11;70;0;;CMA3538
13400;03/03/2023;;139895;11;Store 11;28;0;;CMA3538
13400;03/03/2023;;139775;11;Store 11;66;0;;CMA3538
13400;03/03/2023;;139888;11;Store 11;84;0;;CMA3538
13400;03/03/2023;;139838;11;Store 11;88;0;;CMA3538
13400;03/03/2023;;139500;11;Store 11;27;0;;CMA3538
17487;20/01/2023;20/01/2023;139491;11;Store 11;11;0.15722891566265057;;CMA3536
17487;20/01/2023;20/01/2023;139407;11;Store 11;14;0.46490963855421685;;CMA3536
17487;20/01/2023;20/01/2023;139354;11;Store 11;22;0.2534638554216867;;CMA3536
17487;20/01/2023;20/01/2023;139426;11;Store 11;98;0.31445783132530114;;CMA3536
17487;20/01/2023;20/01/2023;139814;11;Store 11;99;0.8090361445783132;;CMA3536
17487;20/01/2023;20/01/2023;139547;11;Store 11;36;1.3040963855421686;;CMA3536
17487;20/01/2023;20/01/2023;139641;11;Store 11;34;0.04629518072289156;;CMA3536
17487;20/01/2023;20/01/2023;139310;11;Store 11;41;0.38072289156626504;;CMA3536
17487;20/01/2023;20/01/2023;139308;11;Store 11;76;0.7911144578313253;;CMA3536
17487;20/01/2023;20/01/2023;139657;11;Store 11;83;0.11927710843373493;;CMA3536
17487;20/01/2023;20/01/2023;139408;11;Store 11;85;0.15632530120481927;;CMA3536
17487;20/01/2023;20/01/2023;139455;11;Store 11;30;0.5285542168674697;;CMA3536
17487;20/01/2023;20/01/2023;139410;11;Store 11;34;0.9442771084337349;;CMA3536
17487;20/01/2023;20/01/2023;139459;11;Store 11;50;0.8128915662650602;;CMA3536
17487;20/01/2023;20/01/2023;139332;11;Store 11;45;0.05367469879518072;;CMA3536
17487;20/01/2023;20/01/2023;139455;11;Store 11;43;0.48771084337349396;;CMA3536
17487;20/01/2023;20/01/2023;139798;11;Store 11;32;1.0467168674698795;;CMA3536
18001;20/01/2023;20/01/2023;139741;11;Store 11;97;0.10831325301204818;;CMA3535
18001;20/01/2023;20/01/2023;139374;11;Store 11;65;0.349789156626506;;CMA3535
18001;20/01/2023;20/01/2023;139450;11;Store 11;45;0.11629518072289156;;CMA3535
18001;20/01/2023;20/01/2023;139825;11;Store 11;72;0.1939156626506024;;CMA3535
18001;20/01/2023;20/01/2023;139804;11;Store 11;35;0.6377108433734939;;CMA3535
18001;20/01/2023;20/01/2023;139813;11;Store 11;80;1.007710843373494;;CMA3535
18001;20/01/2023;20/01/2023;139322;11;Store 11;71;0.03671686746987952;;CMA3535
18001;20/01/2023;20/01/2023;139919;11;Store 11;21;0.2855421686746988;;CMA3535
18001;20/01/2023;20/01/2023;139456;11;Store 11;57;0.5956626506024095;;CMA3535
18001;20/01/2023;20/01/2023;139376;11;Store 11;66;0.08481927710843372;;CMA3535
18001;20/01/2023;20/01/2023;139734;11;Store 11;38;0.0625301204819277;;CMA3535
18001;20/01/2023;20/01/2023;139672;11;Store 11;62;0.42542168674698794;;CMA3535
18001;20/01/2023;20/01/2023;139700;11;Store 11;50;0.7256024096385542;;CMA3535
18001;20/01/2023;20/01/2023;139923;11;Store 11;97;0.6253012048192771;;CMA3535
18001;20/01/2023;20/01/2023;139729;11;Store 11;39;0.03578313253012048;;CMA3535
18001;20/01/2023;20/01/2023;139836;11;Store 11;73;0.007771084337349397;;CMA3535
18001;20/01/2023;20/01/2023;139400;11;Store 11;92;0.27433734939759036;;CMA3535
18001;20/01/2023;20/01/2023;139697;11;Store 11;73;0.8441265060240962;;CMA3535
10317;03/03/2023;;139818;11;Store 11;29;0;;CMA3534
10317;03/03/2023;;139378;11;Store 11;15;0;;CMA3534
10317;03/03/2023;;139797;11;Store 11;42;0;;CMA3534
10317;03/03/2023;;139487;11;Store 11;41;0;;CMA3534
10317;03/03/2023;;139739;11;Store 11;28;0;;CMA3534
10317;03/03/2023;;139380;11;Store 11;51;0;;CMA3534
10317;03/03/2023;;139548;11;Store 11;59;0;;CMA3534
10317;03/03/2023;;139531;11;Store 11;44;0;;CMA3534
10317;03/03/2023;;139549;11;Store 11;31;0;;CMA3534
10317;03/03/2023;;139695;11;Store 11;94;0;;CMA3534
10317;03/03/2023;;139541;11;Store 11;10;0;;CMA3534
10317;03/03/2023;;139912;11;Store 11;56;0;;CMA3534
10317;03/03/2023;;139793;11;Store 11;93;0;;CMA3534
10317;03/03/2023;;139498;11;Store 11;51;0;;CMA3534
13693;17/04/2023;17/04/2023;139754;2;Store 2;52;2.1506024096385543;;CMA3535
10712;20/03/2023;20/03/2023;139504;2;Store 2;77;2.1506024096385543;;CMA3539
18900;20/02/2023;20/02/2023;139592;2;Store 2;69;2.1506024096385543;;CMA3533
12204;03/03/2023;03/03/2023;139542;2;Store 2;67;0.1000301204819277;;CMA3536
12204;03/03/2023;03/03/2023;139328;2;Store 2;37;0.1397590361445783;;CMA3536
12204;03/03/2023;03/03/2023;139737;2;Store 2;82;0.052861445783132524;;CMA3536
12204;03/03/2023;03/03/2023;139680;2;Store 2;69;0.06626506024096386;;CMA3536
12204;03/03/2023;03/03/2023;139389;2;Store 2;90;0.17268072289156625;;CMA3536
12204;03/03/2023;03/03/2023;139387;2;Store 2;22;0.41150602409638554;;CMA3536
12204;03/03/2023;03/03/2023;139566;2;Store 2;39;0.05765060240963855;;CMA3536
12204;03/03/2023;03/03/2023;139619;2;Store 2;42;0.0713855421686747;;CMA3536
12204;03/03/2023;03/03/2023;139583;2;Store 2;11;0.1778313253012048;;CMA3536
12204;03/03/2023;03/03/2023;139393;2;Store 2;34;0.02873493975903614;;CMA3536
12204;03/03/2023;03/03/2023;139366;2;Store 2;37;0.17608433734939757;;CMA3536
12204;03/03/2023;03/03/2023;139617;2;Store 2;96;0.0391566265060241;;CMA3536
12204;03/03/2023;03/03/2023;139598;2;Store 2;99;0.029638554216867466;;CMA3536
12204;03/03/2023;03/03/2023;139576;2;Store 2;74;0.22337349397590361;;CMA3536
12204;03/03/2023;03/03/2023;139923;2;Store 2;62;0.007951807228915662;;CMA3536
12204;03/03/2023;03/03/2023;139927;2;Store 2;42;0.1250602409638554;;CMA3536
12204;03/03/2023;03/03/2023;139463;2;Store 2;29;0.06445783132530121;;CMA3536
12204;03/03/2023;03/03/2023;139444;2;Store 2;41;0.293222891566265;;CMA3536
12204;03/03/2023;03/03/2023;139382;2;Store 2;60;0.14069277108433734;;CMA3536
12204;03/03/2023;03/03/2023;139330;2;Store 2;70;0.06135542168674698;;CMA3536
12204;03/03/2023;03/03/2023;139579;2;Store 2;45;0.003253012048192771;;CMA3536
12204;03/03/2023;03/03/2023;139444;2;Store 2;84;0.04921686746987951;;CMA3536
12204;03/03/2023;03/03/2023;139505;2;Store 2;68;0.8230120481927711;;CMA3536
12204;03/03/2023;03/03/2023;139653;2;Store 2;26;0.2025903614457831;;CMA3536
12204;03/03/2023;03/03/2023;139611;2;Store 2;77;0.1463855421686747;;CMA3536
12204;03/03/2023;03/03/2023;139450;2;Store 2;30;0.09343373493975902;;CMA3536
12204;03/03/2023;03/03/2023;139849;2;Store 2;94;0.0716867469879518;;CMA3536
12204;03/03/2023;03/03/2023;139880;2;Store 2;61;0.3337349397590361;;CMA3536
12204;03/03/2023;03/03/2023;139712;2;Store 2;73;0.2091867469879518;;CMA3536
12204;03/03/2023;03/03/2023;139693;2;Store 2;40;0.028493975903614455;;CMA3536
12204;03/03/2023;03/03/2023;139827;2;Store 2;60;0.516144578313253;;CMA3536
18845;03/03/2023;;139871;2;Store 2;90;0;;CMA3537
18845;03/03/2023;;139637;2;Store 2;92;0;;CMA3537
18845;03/03/2023;;139481;2;Store 2;55;0;;CMA3537
18845;03/03/2023;;139525;2;Store 2;21;0;;CMA3537
18845;03/03/2023;;139601;2;Store 2;45;0;;CMA3537
18845;03/03/2023;;139476;2;Store 2;35;0;;CMA3537
18845;03/03/2023;;139610;2;Store 2;88;0;;CMA3537
18845;03/03/2023;;139910;2;Store 2;24;0;;CMA3537
18845;03/03/2023;;139712;2;Store 2;29;0;;CMA3537
18845;03/03/2023;;139592;2;Store 2;59;0;;CMA3537
18845;03/03/2023;;139314;2;Store 2;83;0;;CMA3537
18845;03/03/2023;;139412;2;Store 2;57;0;;CMA3537
18845;03/03/2023;;139521;2;Store 2;46;0;;CMA3537
18845;03/03/2023;;139382;2;Store 2;39;0;;CMA3537
18845;03/03/2023;;139630;2;Store 2;64;0;;CMA3537
18845;03/03/2023;;139737;2;Store 2;97;0;;CMA3537
18845;03/03/2023;;139364;2;Store 2;53;0;;CMA3537
18845;03/03/2023;;139403;2;Store 2;36;0;;CMA3537
18845;03/03/2023;;139508;2;Store 2;65;0;;CMA3537
18845;03/03/2023;;139542;2;Store 2;14;0;;CMA3537
18845;03/03/2023;;139311;2;Store 2;31;0;;CMA3537
18845;03/03/2023;;139727;2;Store 2;54;0;;CMA3537
18845;03/03/2023;;139769;2;Store 2;95;0;;CMA3537
18845;03/03/2023;;139392;2;Store 2;19;0;;CMA3537
18845;03/03/2023;;139512;2;Store 2;55;0;;CMA3537
18845;03/03/2023;;139883;2;Store 2;90;0;;CMA3537
18845;03/03/2023;;139333;2;Store 2;55;0;;CMA3537
18845;03/03/2023;;139746;2;Store 2;34;0;;CMA3537
18845;03/03/2023;;139882;2;Store 2;53;0;;CMA3537
18845;03/03/2023;;139872;2;Store 2;86;0;;CMA3537
12115;20/01/2023;20/01/2023;139518;2;Store 2;29;0.7270481927710843;;CMA3538
12115;20/01/2023;20/01/2023;139652;2;Store 2;67;0.8420481927710842;;CMA3538
12115;20/01/2023;20/01/2023;139817;2;Store 2;12;0.3700301204819277;;CMA3538
12115;20/01/2023;20/01/2023;139802;2;Store 2;38;0.4141566265060241;;CMA3538
12115;20/01/2023;20/01/2023;139725;2;Store 2;45;1.6736746987951807;;CMA3538
12115;20/01/2023;20/01/2023;139634;2;Store 2;56;2.6688253012048193;;CMA3538
12115;20/01/2023;20/01/2023;139573;2;Store 2;66;0.5083734939759036;;CMA3538
12115;20/01/2023;20/01/2023;139331;2;Store 2;47;0.7043373493975903;;CMA3538
12115;20/01/2023;20/01/2023;139601;2;Store 2;15;1.52144578313253;;CMA3538
12115;20/01/2023;20/01/2023;139690;2;Store 2;18;0.2985240963855421;;CMA3538
12115;20/01/2023;20/01/2023;139839;2;Store 2;25;1.1992771084337348;;CMA3538
12115;20/01/2023;20/01/2023;139943;2;Store 2;25;0.29819277108433734;;CMA3538
12115;20/01/2023;20/01/2023;139392;2;Store 2;71;0.21240963855421685;;CMA3538
12115;20/01/2023;20/01/2023;139328;2;Store 2;67;0.9214156626506024;;CMA3538
12115;20/01/2023;20/01/2023;139902;2;Store 2;64;0.060963855421686745;;CMA3538
12115;20/01/2023;20/01/2023;139522;2;Store 2;23;0.9796385542168674;;CMA3538
12115;20/01/2023;20/01/2023;139751;2;Store 2;99;0.6703614457831325;;CMA3538
12115;20/01/2023;20/01/2023;139844;2;Store 2;28;2.8477409638554216;;CMA3538
12115;20/01/2023;20/01/2023;139359;2;Store 2;12;0.8128915662650602;;CMA3538
12115;20/01/2023;20/01/2023;139742;2;Store 2;31;0.36521084337349397;;CMA3538
12115;20/01/2023;20/01/2023;139860;2;Store 2;66;0.08783132530120481;;CMA3538
12115;20/01/2023;20/01/2023;139532;2;Store 2;50;0.2953012048192771;;CMA3538
12115;20/01/2023;20/01/2023;139806;2;Store 2;84;8.23012048192771;;CMA3538
12115;20/01/2023;20/01/2023;139745;2;Store 2;33;1.7220180722891565;;CMA3538
12115;20/01/2023;20/01/2023;139428;2;Store 2;12;0.769879518072289;;CMA3538
12115;20/01/2023;20/01/2023;139838;2;Store 2;87;0.4586746987951807;;CMA3538
12115;20/01/2023;20/01/2023;139927;2;Store 2;29;0.480722891566265;;CMA3538
12115;20/01/2023;20/01/2023;139755;2;Store 2;83;1.6686746987951806;;CMA3538
12115;20/01/2023;20/01/2023;139360;2;Store 2;69;1.045933734939759;;CMA3538
12115;20/01/2023;20/01/2023;139581;2;Store 2;81;0.17484939759036142;;CMA3538
16662;20/01/2023;20/01/2023;139660;2;Store 2;44;0.09759036144578313;;CMA3537
16662;20/01/2023;20/01/2023;139358;2;Store 2;20;0.11180722891566265;;CMA3537
16662;20/01/2023;20/01/2023;139354;2;Store 2;82;0.04933734939759035;;CMA3537
16662;20/01/2023;20/01/2023;139645;2;Store 2;64;0.059638554216867465;;CMA3537
16662;20/01/2023;20/01/2023;139766;2;Store 2;66;0.22138554216867468;;CMA3537
16662;20/01/2023;20/01/2023;139449;2;Store 2;73;0.3578313253012048;;CMA3537
16662;20/01/2023;20/01/2023;139428;2;Store 2;97;0.05240963855421686;;CMA3537
16662;20/01/2023;20/01/2023;139865;2;Store 2;29;0.09518072289156626;;CMA3537
16662;20/01/2023;20/01/2023;139427;2;Store 2;78;0.27662650602409633;;CMA3537
16662;20/01/2023;20/01/2023;139553;2;Store 2;33;0.033524096385542164;;CMA3537
16662;20/01/2023;20/01/2023;139450;2;Store 2;82;0.16656626506024097;;CMA3537
16662;20/01/2023;20/01/2023;139480;2;Store 2;65;0.03614457831325301;;CMA3537
16662;20/01/2023;20/01/2023;139911;2;Store 2;76;0.03210843373493976;;CMA3537
16662;20/01/2023;20/01/2023;139517;2;Store 2;86;0.1303012048192771;;CMA3537
16662;20/01/2023;20/01/2023;139584;2;Store 2;51;0.007951807228915662;;CMA3537
16662;20/01/2023;20/01/2023;139696;2;Store 2;18;0.11463855421686746;;CMA3537
16662;20/01/2023;20/01/2023;139334;2;Store 2;84;0.07734939759036144;;CMA3537
16662;20/01/2023;20/01/2023;139922;2;Store 2;46;0.3777108433734939;;CMA3537
16662;20/01/2023;20/01/2023;139626;2;Store 2;97;0.1250602409638554;;CMA3537
16662;20/01/2023;20/01/2023;139309;2;Store 2;40;0.05259036144578313;;CMA3537
16662;20/01/2023;20/01/2023;139846;2;Store 2;52;0.003253012048192771;;CMA3537
16662;20/01/2023;20/01/2023;139485;2;Store 2;95;0.02331325301204819;;CMA3537
16662;20/01/2023;20/01/2023;139551;2;Store 2;47;1.127831325301205;;CMA3537
16662;20/01/2023;20/01/2023;139891;2;Store 2;88;0.3038855421686747;;CMA3537
16662;20/01/2023;20/01/2023;139316;2;Store 2;95;0.10301204819277107;;CMA3537
16662;20/01/2023;20/01/2023;139836;2;Store 2;100;0.06512048192771083;;CMA3537
16662;20/01/2023;20/01/2023;139568;2;Store 2;96;0.03795180722891566;;CMA3537
16662;20/01/2023;20/01/2023;139380;2;Store 2;59;0.2503012048192771;;CMA3537
16662;20/01/2023;20/01/2023;139560;2;Store 2;91;0.27891566265060236;;CMA3537
16662;20/01/2023;20/01/2023;139643;2;Store 2;12;0.019427710843373493;;CMA3537
16662;20/01/2023;20/01/2023;139319;2;Store 2;57;0.35484939759036144;;CMA3537
11448;24/02/2023;;139533;2;Store 2;57;0;;CMA3533
15872;03/03/2023;03/03/2023;139301;2;Store 2;63;0.06099397590361445;;CMA3537
15872;03/03/2023;03/03/2023;139838;2;Store 2;61;0.06987951807228915;;CMA3537
15872;03/03/2023;03/03/2023;139936;2;Store 2;98;0.028192771084337348;;CMA3537
15872;03/03/2023;03/03/2023;139767;2;Store 2;62;0.036445783132530114;;CMA3537
15872;03/03/2023;03/03/2023;139747;2;Store 2;70;0.13725903614457832;;CMA3537
15872;03/03/2023;03/03/2023;139723;2;Store 2;10;0.2206626506024096;;CMA3537
15872;03/03/2023;03/03/2023;139805;2;Store 2;30;0.03144578313253012;;CMA3537
15872;03/03/2023;03/03/2023;139764;2;Store 2;34;0.05710843373493975;;CMA3537
15872;03/03/2023;03/03/2023;139800;2;Store 2;72;0.11855421686746986;;CMA3537
15872;03/03/2023;03/03/2023;139686;2;Store 2;59;0.019156626506024094;;CMA3537
15872;03/03/2023;03/03/2023;139849;2;Store 2;69;0.10469879518072288;;CMA3537
15872;03/03/2023;03/03/2023;139900;2;Store 2;78;0.02108433734939759;;CMA3537
15872;03/03/2023;03/03/2023;139387;2;Store 2;78;0.01728915662650602;;CMA3537
15872;03/03/2023;03/03/2023;139735;2;Store 2;72;0.07445783132530119;;CMA3537
15872;03/03/2023;03/03/2023;139787;2;Store 2;99;0.0026506024096385537;;CMA3537
15872;03/03/2023;03/03/2023;139805;2;Store 2;54;0.06774096385542168;;CMA3537
15872;03/03/2023;03/03/2023;139396;2;Store 2;95;0.04512048192771084;;CMA3537
15872;03/03/2023;03/03/2023;139682;2;Store 2;19;0.23855421686746986;;CMA3537
15872;03/03/2023;03/03/2023;139916;2;Store 2;91;0.0625301204819277;;CMA3537
15872;03/03/2023;03/03/2023;139321;2;Store 2;22;0.03213855421686747;;CMA3537
15872;03/03/2023;03/03/2023;139921;2;Store 2;44;0.0016265060240963855;;CMA3537
15872;03/03/2023;03/03/2023;139770;2;Store 2;37;0.012951807228915662;;CMA3537
15872;03/03/2023;03/03/2023;139725;2;Store 2;25;0.7010843373493976;;CMA3537
15872;03/03/2023;03/03/2023;139416;2;Store 2;56;0.1350602409638554;;CMA3537
15872;03/03/2023;03/03/2023;139797;2;Store 2;79;0.11656626506024095;;CMA3537
15872;03/03/2023;03/03/2023;139913;2;Store 2;92;0.0736144578313253;;CMA3537
15872;03/03/2023;03/03/2023;139418;2;Store 2;41;0.025301204819277105;;CMA3537
15872;03/03/2023;03/03/2023;139370;2;Store 2;72;0.2503012048192771;;CMA3537
15872;03/03/2023;03/03/2023;139721;2;Store 2;27;0.13945783132530118;;CMA3537
15872;03/03/2023;03/03/2023;139656;2;Store 2;30;0.022018072289156625;;CMA3537
15872;03/03/2023;03/03/2023;139820;2;Store 2;41;0.38710843373493975;;CMA3537
19628;20/01/2023;20/01/2023;139875;2;Store 2;53;0.1219879518072289;;CMA3539
19628;20/01/2023;20/01/2023;139640;2;Store 2;67;0.1467469879518072;;CMA3539
19628;20/01/2023;20/01/2023;139710;2;Store 2;50;0.08457831325301203;;CMA3539
19628;20/01/2023;20/01/2023;139847;2;Store 2;84;0.086144578313253;;CMA3539
19628;20/01/2023;20/01/2023;139676;2;Store 2;68;0.332078313253012;;CMA3539
19628;20/01/2023;20/01/2023;139787;2;Store 2;73;0.447289156626506;;CMA3539
19628;20/01/2023;20/01/2023;139541;2;Store 2;28;0.06289156626506023;;CMA3539
19628;20/01/2023;20/01/2023;139712;2;Store 2;50;0.14753012048192768;;CMA3539
19628;20/01/2023;20/01/2023;139783;2;Store 2;17;0.3556626506024096;;CMA3539
19628;20/01/2023;20/01/2023;139354;2;Store 2;33;0.04469879518072289;;CMA3539
19628;20/01/2023;20/01/2023;139683;2;Store 2;31;0.20939759036144576;;CMA3539
19628;20/01/2023;20/01/2023;139832;2;Store 2;56;0.04518072289156626;;CMA3539
19628;20/01/2023;20/01/2023;139638;2;Store 2;19;0.037048192771084336;;CMA3539
19628;20/01/2023;20/01/2023;139357;2;Store 2;64;0.07445783132530119;;CMA3539
19628;20/01/2023;20/01/2023;139313;2;Store 2;59;0.010602409638554215;;CMA3539
19628;20/01/2023;20/01/2023;139868;2;Store 2;91;0.17195783132530118;;CMA3539
19628;20/01/2023;20/01/2023;139883;2;Store 2;14;0.11602409638554216;;CMA3539
19628;20/01/2023;20/01/2023;139346;2;Store 2;63;0.5665662650602409;;CMA3539
19628;20/01/2023;20/01/2023;139376;2;Store 2;19;0.17195783132530118;;CMA3539
19628;20/01/2023;20/01/2023;139459;2;Store 2;48;0.07304216867469879;;CMA3539
19628;20/01/2023;20/01/2023;139388;2;Store 2;43;0.003253012048192771;;CMA3539
19628;20/01/2023;20/01/2023;139823;2;Store 2;48;1.7069879518072286;;CMA3539
19628;20/01/2023;20/01/2023;139491;2;Store 2;89;0.4051807228915662;;CMA3539
19628;20/01/2023;20/01/2023;139900;2;Store 2;40;0.15451807228915662;;CMA3539
19628;20/01/2023;20/01/2023;139907;2;Store 2;80;0.09626506024096385;;CMA3539
19628;20/01/2023;20/01/2023;139741;2;Store 2;87;0.012650602409638553;;CMA3539
19628;20/01/2023;20/01/2023;139926;2;Store 2;60;0.3337349397590361;;CMA3539
19628;20/01/2023;20/01/2023;139862;2;Store 2;29;0.27891566265060236;;CMA3539
19628;20/01/2023;20/01/2023;139864;2;Store 2;83;0.02978915662650602;;CMA3539
19628;20/01/2023;20/01/2023;139773;2;Store 2;24;0.5484036144578313;;CMA3539
15247;03/03/2023;;139705;1;Store 1;20;0;;CMA3539
15247;03/03/2023;;139582;1;Store 1;97;0;;CMA3539
15247;03/03/2023;;139634;1;Store 1;72;0;;CMA3539
15247;03/03/2023;;139827;1;Store 1;45;0;;CMA3539
15247;03/03/2023;;139720;1;Store 1;57;0;;CMA3539
15247;03/03/2023;;139573;1;Store 1;14;0;;CMA3539
15247;03/03/2023;;139784;1;Store 1;55;0;;CMA3539
15247;03/03/2023;;139886;1;Store 1;42;0;;CMA3539
15247;03/03/2023;;139644;1;Store 1;22;0;;CMA3539
15247;03/03/2023;;139537;1;Store 1;49;0;;CMA3539
13016;03/03/2023;;139497;1;Store 1;87;0;;CMA3534
13016;03/03/2023;;139362;1;Store 1;95;0;;CMA3534
13016;03/03/2023;;139789;1;Store 1;92;0;;CMA3534
13016;03/03/2023;;139769;1;Store 1;100;0;;CMA3534
13016;03/03/2023;;139822;1;Store 1;64;0;;CMA3534
13016;03/03/2023;;139484;1;Store 1;19;0;;CMA3534
13016;03/03/2023;;139339;1;Store 1;30;0;;CMA3534
13016;03/03/2023;;139856;1;Store 1;81;0;;CMA3534
13016;03/03/2023;;139354;1;Store 1;91;0;;CMA3534
13016;03/03/2023;;139406;1;Store 1;70;0;;CMA3534
17773;20/01/2023;20/01/2023;139484;1;Store 1;51;0.6951506024096386;;CMA3537
17773;20/01/2023;20/01/2023;139568;1;Store 1;98;0.4235542168674698;;CMA3537
17773;20/01/2023;20/01/2023;139551;1;Store 1;39;2.015421686746988;;CMA3537
17773;20/01/2023;20/01/2023;139488;1;Store 1;24;0.2141566265060241;;CMA3537
17773;20/01/2023;20/01/2023;139709;1;Store 1;13;0.44674698795180723;;CMA3537
17773;20/01/2023;20/01/2023;139615;1;Store 1;21;0.483433734939759;;CMA3537
17773;20/01/2023;20/01/2023;139836;1;Store 1;36;0.58644578313253;;CMA3537
17773;20/01/2023;20/01/2023;139685;1;Store 1;47;1.0059036144578313;;CMA3537
17773;20/01/2023;20/01/2023;139394;1;Store 1;58;0.6077710843373494;;CMA3537
17773;20/01/2023;20/01/2023;139773;1;Store 1;34;0.6774397590361445;;CMA3537
17818;03/03/2023;03/03/2023;139593;1;Store 1;81;0.3453614457831325;;CMA3539
17818;03/03/2023;03/03/2023;139460;1;Store 1;53;0.08566265060240963;;CMA3539
17818;03/03/2023;03/03/2023;139897;1;Store 1;92;0.9484337349397589;;CMA3539
17818;03/03/2023;03/03/2023;139613;1;Store 1;83;0.07614457831325301;;CMA3539
17818;03/03/2023;03/03/2023;139857;1;Store 1;82;0.15822289156626504;;CMA3539
17818;03/03/2023;03/03/2023;139395;1;Store 1;28;0.12891566265060242;;CMA3539
17818;03/03/2023;03/03/2023;139778;1;Store 1;23;0.258433734939759;;CMA3539
17818;03/03/2023;03/03/2023;139652;1;Store 1;15;0.7315662650602409;;CMA3539
17818;03/03/2023;03/03/2023;139475;1;Store 1;72;0.4051807228915662;;CMA3539
17818;03/03/2023;03/03/2023;139720;1;Store 1;93;0.38710843373493975;;CMA3539
19106;03/03/2023;;139419;1;Store 1;73;0;;CMA3538
19106;03/03/2023;;139481;1;Store 1;72;0;;CMA3538
19106;03/03/2023;;139569;1;Store 1;85;0;;CMA3538
19106;03/03/2023;;139886;1;Store 1;18;0;;CMA3538
